,precision,recall,f1-score,support
0,0.15476190476190477,0.24074074074074073,0.18840579710144928,54.0
1,0.3157894736842105,0.0962566844919786,0.14754098360655737,187.0
2,0.4100642398286938,0.5225102319236017,0.4595080983803239,733.0
3,0.25539568345323743,0.10856269113149847,0.15236051502145923,654.0
4,0.4762826718296225,0.5264847512038523,0.5001270648030496,1869.0
5,0.3819060773480663,0.4438202247191011,0.4105419450631032,1246.0
6,0.3518005540166205,0.20418006430868169,0.25839267548321465,622.0
7,0.5806451612903226,0.13432835820895522,0.21818181818181817,134.0
8,0.43867569601203915,0.4664,0.4521132221791392,1250.0
9,0.3374233128834356,0.3188405797101449,0.32786885245901637,345.0
10,0.1851497769279796,0.3993127147766323,0.25299368604398,1455.0
11,0.2857142857142857,0.03347280334728033,0.0599250936329588,239.0
12,0.0,0.0,0.0,5.0
13,0.3811764705882353,0.25796178343949044,0.3076923076923077,628.0
14,0.37362637362637363,0.4788732394366197,0.41975308641975306,71.0
15,0.2717391304347826,0.28735632183908044,0.27932960893854747,87.0
16,0.6958674863387978,0.7778944354299895,0.7345982243453963,10477.0
17,0.4375,0.034482758620689655,0.0639269406392694,203.0
18,0.5679012345679012,0.44019138755980863,0.49595687331536387,209.0
19,0.24848484848484848,0.4892601431980907,0.3295819935691318,419.0
20,0.33568075117370894,0.45686900958466453,0.3870094722598105,313.0
21,0.0,0.0,0.0,51.0
22,0.39901477832512317,0.20984455958549222,0.27504244482173174,386.0
23,0.4299363057324841,0.5012376237623762,0.46285714285714286,808.0
24,0.6669063713504962,0.4317504655493482,0.5241620980048607,10740.0
25,0.678125,0.4568421052631579,0.5459119496855346,475.0
26,0.346779440468445,0.5120076849183477,0.4134988363072149,1041.0
27,0.6481159420289855,0.5411423039690223,0.5898179899762596,2066.0
28,0.5781606283253103,0.800982800982801,0.6715715126545027,2849.0
29,0.0,0.0,0.0,120.0
30,0.6922748612889458,0.7004966529907147,0.6963614897499195,4631.0
31,0.39138240574506283,0.24439461883408073,0.30089717046238784,892.0
32,0.41025641025641024,0.1927710843373494,0.26229508196721313,83.0
33,0.5132743362831859,0.2636363636363636,0.3483483483483483,220.0
34,0.4098701298701299,0.557991513437058,0.472596585804133,1414.0
35,0.0,0.0,0.0,36.0
36,0.43160377358490565,0.583732057416268,0.49627118644067797,627.0
37,0.3339920948616601,0.35135135135135137,0.342451874366768,481.0
38,0.4427710843373494,0.6869158878504673,0.5384615384615384,214.0
39,0.2624113475177305,0.137546468401487,0.18048780487804877,269.0
accuracy,0.5469621216797317,0.5469621216797317,0.5469621216797317,0.5469621216797317
macro avg,0.37801150107353226,0.3472610616489146,0.33917103284804834,48603.0
weighted avg,0.5639238727363132,0.5469621216797317,0.5415629136776153,48603.0
