,precision,recall,f1-score,support
0,0.14102564102564102,0.2037037037037037,0.16666666666666666,54.0
1,0.2682926829268293,0.11764705882352941,0.16356877323420074,187.0
2,0.3664440734557596,0.5989085948158254,0.4546866908337649,733.0
3,0.25766871165644173,0.12844036697247707,0.17142857142857143,654.0
4,0.5007688364941056,0.5227394328517924,0.5115183246073298,1869.0
5,0.3777416734362307,0.37319422150882825,0.3754541784416633,1246.0
6,0.4057971014492754,0.13504823151125403,0.20265379975874548,622.0
7,0.425,0.12686567164179105,0.19540229885057472,134.0
8,0.4092852779474649,0.536,0.46414963630065814,1250.0
9,0.25654450261780104,0.28405797101449276,0.2696011004126547,345.0
10,0.1926648096564531,0.2852233676975945,0.22998060404544196,1455.0
11,0.3235294117647059,0.04602510460251046,0.08058608058608059,239.0
12,0.0,0.0,0.0,5.0
13,0.2527624309392265,0.2914012738853503,0.27071005917159763,628.0
14,0.21428571428571427,0.38028169014084506,0.27411167512690354,71.0
15,0.23958333333333334,0.26436781609195403,0.25136612021857924,87.0
16,0.6748671843073151,0.7881072826190704,0.7271046143008102,10477.0
17,0.24,0.029556650246305417,0.05263157894736842,203.0
18,0.5180722891566265,0.41148325358851673,0.45866666666666667,209.0
19,0.27393225331369664,0.4439140811455847,0.33879781420765026,419.0
20,0.31295843520782396,0.40894568690095845,0.3545706371191136,313.0
21,0.0,0.0,0.0,51.0
22,0.40229885057471265,0.09067357512953368,0.14799154334038056,386.0
23,0.3513761467889908,0.474009900990099,0.4035827186512118,808.0
24,0.6871786632390745,0.39823091247672254,0.5042442820089601,10740.0
25,0.6398891966759003,0.4863157894736842,0.5526315789473685,475.0
26,0.3446327683615819,0.4687800192122959,0.3972323972323972,1041.0
27,0.6049320583794665,0.5818005808325266,0.5931408832963238,2066.0
28,0.5809232480533927,0.7332397332397332,0.648254460822343,2849.0
29,0.0,0.0,0.0,120.0
30,0.6430507861919392,0.7683005830274239,0.7001180637544274,4631.0
31,0.3940298507462687,0.14798206278026907,0.21515892420537897,892.0
32,0.38461538461538464,0.30120481927710846,0.33783783783783783,83.0
33,0.5208333333333334,0.11363636363636363,0.1865671641791045,220.0
34,0.3790044356826023,0.5438472418670438,0.4467034562881208,1414.0
35,0.0,0.0,0.0,36.0
36,0.37362637362637363,0.5964912280701754,0.4594594594594595,627.0
37,0.3613707165109034,0.24116424116424118,0.2892768079800499,481.0
38,0.24963289280469897,0.794392523364486,0.37988826815642457,214.0
39,0.4166666666666667,0.07434944237918216,0.12618296529968454,269.0
accuracy,0.5366541160010699,0.5366541160010699,0.5366541160010699,0.5366541160010699
macro avg,0.3496321433806434,0.3297582619170818,0.31004816755961284,48603.0
weighted avg,0.5509173025671409,0.5366541160010699,0.5246862093928545,48603.0
