model,split,accuracy,precision_macro,recall_macro,f1_macro
GCN,train,0.652796868299227,0.5313340934628,0.4357510073570895,0.4528353143351026
GCN,valid,0.6050874190409075,0.4299214366361654,0.3722364448561451,0.37957985225666213
GCN,test,0.5464271752772463,0.3858266423583801,0.35709941010856394,0.3443165668690262
GAT,train,0.6027974181062447,0.4695317100418174,0.3669424959606023,0.3749399822907477
GAT,valid,0.5949528507668043,0.4014577841606151,0.3369587961114841,0.3375835253208534
GAT,test,0.5366541160010699,0.3496321433806434,0.3297582619170818,0.3100481675596128
GCN-weighted,test,0.3898319033804497,0.2803997066102162,0.443632808962182,0.295348490622605
