sample_node,sample_node_class,neighbour_node,neighbour_class,attention_weight
346,24,87827,24,0.41217416524887085
346,24,346,24,0.40398532152175903
346,24,109114,24,0.18384051322937012
398,10,92568,8,0.26091134548187256
398,10,57049,16,0.25747719407081604
398,10,398,10,0.24548649787902832
398,10,86734,27,0.23612497746944427
451,24,451,24,1.0
480,4,136231,23,0.27083200216293335
480,4,480,4,0.24831567704677582
480,4,116043,23,0.24104294180870056
480,4,55070,27,0.23980939388275146
488,20,488,20,0.6078267693519592
488,20,9649,20,0.3921732008457184
